Name	Radius		Day		GM			SOI		Atmo
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Uleg	510000.000	2148570.460	1836510958800.000	6300638211785410.000	46000.000
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%	Quackpack
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Blas	811000.000	61672.000	8778503956368.650	17867618.306	80000.000
Cind	571000.000	86892.322	3648199138793.650	3808573.811	100000.000
Geet	10630.000	10654.508	42662660.401	21979.957	0.000
Jot	8339000.000	77253.000	394845494722672.000	51592036.823	1200000.000
Subon	16000.000	16460.736	104185849.600	32577.972	180000.000
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%	OPM
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Hale	6000.000	23555.313	811990.620	41000	0.000
Karen	85050.000	106327.763	4681804201.247	939354.324	0.000
Neidon	2145000.000	40250.000	14167881530302.500	85109365.000	260000.000
Nissee	30000.000	27924.872	397169325.000	7366476.635	0.000
Ovok	26000.000	29440.147	13258590.800	94000.000	0.000
Plock	189000.000	106309.606	51844895008.200	612762334.800	0.00
Polta	220000.000	73017.110	90181953400.000	1661114.853	0.000
Priax	74000.000	73017.110	3383176570.200	446767.602	0.000
Thatmo	286000.000	306442.674	186097580468.800	5709379.089	35000.000
Slate	540000.000	192771.154	1978856444880.000	9598158.646	0.000
Sarnus	5300000.000	28500.000		82089701953000.000	2740126703.000	580000.000
Tekto	280000.000	666154.482	192440992408.000	8637005.195	95000.000
Urlum	2177000.000	41000.000	11944573769627.500	2562260669.000	325000.000
Tal	22000.000	48874.483	213588837.000	39228.946	0.000
Wal	370000.000	1009410.789	496736242450.000	18933504.68	0.000
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%	MPE
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Archae	55000.000	47031.519	68229767.375	703455.356	0.000
Crokslev	32500.000	15000.000	258956851.562	9442611.111	0.000
Edas	2000.000	14000.000	1015968.940	326426.105	0.000
Ervo	192000.000	28800.000	58564999987.200	204422373.500	0.000
Flake	2000.000	43172.683	11767.980	20000.000	0.000
Geito	1000.000	54000.000	2941.995	221641.751	100000.000
Havous	116666.000	5588.647	19087336454.364	83413960.680	0.000
Kal	3000.000	11797.732	75020.872	20000.000	0.000
Ki'Ki	5320.000	19440.000	444082.769	100000.000	0.000
LintMikey	550.000	18000.000	444.976	35163.704	50000.000
Lon	5000.000	14000.000	490332.500	41357.437	0.000
Mracksis	71500.000	18000.000	6066219621.962	55352117.73	0.000
Soden	61000.000	45000.000	3649054465.000	478525923.359	0.000
Vant	1000.000	20000.000	480525.850	391952.134	0.000
Zore	34500.000	15000.000	571945892.962	8236155.373	0.000
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%	OWR	NEGATIVE	DAY
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
C2-1	9150.000	7871.513	34483564.694	30000.000	0.000
C3-1	4000.000	8058.684	1569064.000	14000.000	0.000
C4-1	31500.000	3589174.055	408687235.425	2365733.949	0.000
C4-2	13600.000	348471.296	25393731.776	164468.126	0.000
Crons	330000.000	-232275.920	266986046250.000	5097912.610	20000.000
Disole	252000.000	107819.294	168145605432.000	2876151.653	40000.000
Kevari	222000.000	21101.880	135327062808.000	784960.421	0.000
Nienna	2400000.000	52500.000	42364728000000.000	553972505.800	250000.000
Niko	132000.000	7560.000	20504528352.000	5110959.445	0.000
Pequar	780000.000	43200.000	6563002446000.000	115866312.700	50000.000
Prima	252000.000	56801.500	124552300320.000	1045976.687	0.000
Secunda	222000.000	56801.500	72496640790.000	1473679.064	0.000
Vassa	420000.000	4367598.844	951441183000.000	30774757.390	60000.000
Troni	150000.000	816031.433	37510436250.000	2759383.965	0.000
